"jelentkezesi_hatarido","allas_megnevezese","kozzetevo","munkavegzes_helye","tipus","jelentkezes_statusza","id"
"2017. december 5.","3 fő gazdasági ügyintéző","Somogy Megyei Gyermekvédelmi Központ, Általános Iskola és Területi Gyermekvédelmi Szakszolgálat","Somogy megye
                             , Marcali","Közalkalmazott","","tdvh6ugvj5"
"2017. december 5.","Gyermekvédelmi ügyintéző","Somogy Megyei Gyermekvédelmi Központ, Általános Iskola és Területi Gyermekvédelmi Szakszolgálat","Somogy megye
                             , Marcali","Közalkalmazott","","tdvh4wdce3"
"2017. december 5.","3 fő Gyermekfelügyelő","Somogy Megyei Gyermekvédelmi Központ, Általános Iskola és Területi Gyermekvédelmi Szakszolgálat","Somogy megye
                             , Marcali","Közalkalmazott","","tdvh4t1ca0"
"2017. december 5.","gyógypedagógus","Közép-Pesti  Tankerületi Központ","Budapest","Közalkalmazott","","tdvh4plbj6"
"2017. december 5.","2 fő karbantartó/sofőr","Somogy Megyei Gyermekvédelmi Központ, Általános Iskola és Területi Gyermekvédelmi Szakszolgálat","Somogy megye
                             , Marcali","Közalkalmazott","","tdvh2rgyc5"
"2017. december 5.","óvodai dajka","Deák Ovi Budapest IV. ker","Budapest","Közalkalmazott","","tdvh1tg5b6"
"2017. december 5.","Fejlesztő pedagógus","Ceglédi Tankerületi Központ Nagykátai Iroda","Pest megye
                             , Tápiószecső","Közalkalmazott","","tdvi8ikni9"
"2017. december 5.","Utazó logopédus","Ceglédi Tankerületi Központ Nagykátai Iroda","Pest megye
                             , Tápiószecső","Közalkalmazott","","tdvi6qa3j9"
"2017. december 5.","Műszaki vezető  ","Budapesti Gépészeti Szakképzési Centrum","Budapest","Közalkalmazott","","tdvi6rk3f6"
"2017. december 5.","oktatási ügyintéző","Nyugat-dunántúli Vízügyi Igazgatóság - Szombathely","Vas megye
                             , Szombathely","Közalkalmazott","","tdvi4wace2"
"2017. december 5.","Osztályvezető-helyettes","Budapest Főváros XXIII. kerület Soroksári Polgármesteri Hivatal","Budapest","Köztisztviselő","","tdvi2osva0"
"2017. december 5.","pszichológus","Miskolci Tankerületi Központ","Borsod-Abaúj-Zemplén megye
                             , Cigánd","Közalkalmazott","","tdvi1qh5f8"
"2017. december 5.","gyógypedagógus ","Miskolci Tankerületi Központ","Borsod-Abaúj-Zemplén megye
                             , Sajószentpéter","Közalkalmazott","","tdvi1wlch7"
"2017. december 5.","Jogász","Budapest Főváros XXIII. kerület Soroksári Polgármesteri Hivatal","Budapest","Köztisztviselő","","tdvi1td5b5"
"2017. december 5.","ISKOLAPSZICHOLÓGUS","Szolnoki Tankerületi Központ","Jász-Nagykun-Szolnok megye
                             , Szolnok","Közalkalmazott","","tdvi0e1xg8"
"2017. december 5.","pénzügyi ellenőrzési referens","Magyar Államkincstár Borsod-Abaúj-Zemplén Megyei Igazgatósága","Borsod-Abaúj-Zemplén megye
                             , Miskolc","Köztisztviselő","","tdvi0ujxc5"
"2017. december 5.","testnevelés-bármely szakos tanár","Bárczay János Mezőgazdasági Szakgimnázium, Szakközépiskola és Kollégium","Borsod-Abaúj-Zemplén megye
                             , Abaújszántó","Közalkalmazott","","tdvj8rlmb1"
"2017. december 5.","2 FŐ ISKOLAPSZICHOLÓGUS","Szolnoki Tankerületi Központ","Jász-Nagykun-Szolnok megye
                             , Szolnok","Közalkalmazott","","tdvj8ufcg9"
"2017. december 5.","igazgatási előadó","Baracsi Közös Önkormányzati Hivatal Jegyzője","Fejér megye
                             , Kisapostag","Köztisztviselő","","tdvj6ohyd1"
"2017. december 5.","1 fő német - bármely szakos tanár","Kelet-Pesti Tankerületi Központ","Budapest","Közalkalmazott","","tdvj4eang0"
"2017. december 5.","óvodatitkár","Erdőtelki Kerekerdő Óvoda","Heves megye
                             , Erdőtelek","Közalkalmazott","","tdvj4thcb8"
"2017. december 5.","családsegítő","Egyesített Szociális Intézmény Tiszaföldvár","Jász-Nagykun-Szolnok megye
                             , Tiszaföldvár","Közalkalmazott","","tdvj2uj5i0"
"2017. december 5.","pályázati referens","Csongrád Megyei Dr. Bugyi István Kórház","Csongrád megye
                             , Szentes","Közalkalmazott","","tdvj1wjch6"
"2017. december 5.","személyügyi ügyintéző","Gottsegen György Országos Kardiológiai Intézet","Budapest","Közalkalmazott","","tdvj0ol3g2"
"2017. december 5.","Óvodapedagógus","Ifjúság Utcai Óvoda - Debrecen","Hajdú-Bihar megye
                             , Ifjúság Utcai Óvoda Hétszinvirág Tagintézménye","Közalkalmazott","","tdba9zavh7"
"2017. december 5.","energetikai gépkezelő","Szent Imre Kórház","Budapest","Közalkalmazott","","tdba9ihyb5"
"2017. december 5.","vízvezeték szerelő","Szent Imre Kórház","Budapest","Közalkalmazott","","tdba8plcc5"
"2017. december 5.","Óvodapedagógus","Ifjúság Utcai Óvoda - Debrecen","Hajdú-Bihar megye
                             , Ifjúság Utcai Óvoda Szoboszlói Úti Tagintézménye","Közalkalmazott","","tdba7rhxi2"
"2017. december 5.","lakatos","Szent Imre Kórház","Budapest","Közalkalmazott","","tdba7z17c0"
"2017. december 5.","Angol szakos tanár","Közép-Budai Tankerületi Központ","Budapest","Közalkalmazott","","tdba5u1ci3"
"2017. december 5.","talajvédelmi felügyelő","Kecskeméti Járási Hivatal Élelmiszerlánc-biztonsági, Növény-és Talajvédelmi Főosztály Növény-és Talajvédelmi Osztály","Bács-Kiskun megye
                             , Kecskemét","Köztisztviselő","","tdba5pf5c1"
"2017. december 5.","Matematika-bármely szakos tanár","Közép-Budai Tankerületi Központ","Budapest","Közalkalmazott","","tdba4wlnh9"
"2017. december 5.","Tanító","Közép-Budai Tankerületi Központ","Budapest","Közalkalmazott","","tdba4oaxh4"
"2017. december 5.","Angol-történelem szakos tanár","Közép-Budai Tankerületi Központ","Budapest","Közalkalmazott","","tdba3wkxd1"
"2017. december 5.","gyógypedagógiai asszisztens","Szombathelyi Tankerületi Központ","Vas megye
                             , Szombathely","Közalkalmazott","","tdba2wh3a3"
"2017. december 5.","Német nyelv szakos tanár","Közép-Budai Tankerületi Központ","Budapest","Közalkalmazott","","tdba1wgch5"
"2017. december 5.","német nemzetiségi óvodapedagógus","Cseperedő Óvoda -Budapest 18.ker.","Budapest","Közalkalmazott","","tdba1ih7h0"
"2017. december 5.","1 fő gyógypedagógus","Dél-Budai Tankerületi Központ","","Közalkalmazott","","tdba0qanc8"
"2017. december 5.","egészségügyi asszisztens","Heim Pál Gyermekkórház","Budapest","Közalkalmazott","","tdbb9wsbb9"
"2017. december 5.","Épületgépész tanár","Békéscsabai Szakképzési Centrum Trefort Ágoston Szakgimnáziuma, Szakközépiskolája és Kollégiuma","Békés megye
                             , Békéscsaba","Közalkalmazott","","tdbb9ohvd3"
"2017. december 5.","Gépész szakoktató","Békéscsabai Szakképzési Centrum Trefort Ágoston Szakgimnáziuma, Szakközépiskolája és Kollégiuma","Békés megye
                             , Békéscsaba","Közalkalmazott","","tdbb8rgmc9"
"2017. december 5.","testnevelés-bármely szakos tanár","Kisvárdai Tankerületi Központ","Szabolcs-Szatmár-Bereg megye
                             , Tiszakanyár","Közalkalmazott","","tdbb7odbh7"
"2017. december 5.","ápoló","Hajdúböszörményi Tankerületi Központ","Hajdú-Bihar megye
                             , Hortobágy","Közalkalmazott","","tdbb6qkxb5"
"2017. december 5.","GONDNOK","Magyar Nemzeti Múzeum","Borsod-Abaúj-Zemplén megye
                             , Sárospatak","Közalkalmazott","","tdbb6w1bd4"
"2017. december 5.","Földrajz szakos pedagógus","Kisvárdai Tankerületi Központ","Szabolcs-Szatmár-Bereg megye
                             , Kemecse","Közalkalmazott","","tdbb6tgyh2"
"2017. december 5.","Portás/Biztonsági őr","Somogy Megyei Gyermekvédelmi Központ, Általános Iskola és Területi Gyermekvédelmi Szakszolgálat","Somogy megye
                             , Kaposvár","Közalkalmazott","","tdbb6osye9"
"2017. december 5.","számviteli ügyintéző","Budapesti Operettszínház","Budapest","Közalkalmazott","","tdbb5zg5g3"
"2017. december 5.","Szakács","Tordas Község Önkormányzat Polgármesteri Hivatal","Fejér megye
                             , Tordas","Közalkalmazott","","tdbb4wjnh8"
"2017. december 5.","rendszergazda","Szigetvári Tankerületi Központ","Baranya megye
                             , Vajszló","Közalkalmazott","","tdbb3whxd0"
"2017. december 5.","MATEMATIKA-BÁRMELY SZAKOS TANÁR","Szigetvári Tankerületi Központ","Baranya megye
                             , Bogádmindszent","Közalkalmazott","","tdbb3r13i8"
"2017. december 5.","általános iskolai tanító","Szigetvári Tankerületi Központ","Baranya megye
                             , Bogádmindszent","Közalkalmazott","","tdbb3zdxa7"
"2017. december 5.","ügyintéző","Eötvös Loránd Tudományegyetem","","Közalkalmazott","","tdbb2wf3a2"
"2017. december 5.","testnevelés-bármely szakos tanár","Kisvárdai Tankerületi Központ","Szabolcs-Szatmár-Bereg megye
                             , Mándok","Közalkalmazott","","tdbb2ud5j8"
"2017. december 5.","matematika-informatika tanár","Dél-Budai Tankerületi Központ","Budapest","Közalkalmazott","","tdbb2okmd6"
"2017. december 5.","karbantartó","Dél-Budai Tankerületi Központ","Budapest","Közalkalmazott","","tdbb1wdch4"
"2017. december 5.","pszichológus","Székesfehérvári Tankerületi Központ","Fejér megye
                             , Székesfehérvár","Közalkalmazott","","tdbb1rj5b2"
"2017. december 5.","pszichológus","Székesfehérvári Tankerületi Központ","Fejér megye
                             , Székesfehérvár","Közalkalmazott","","tdbb0idbe1"
"2017. december 5.","takarító","Mezőkövesdi Tankerületi Központ","Borsod-Abaúj-Zemplén megye
                             , Tiszaújváros","Közalkalmazott","","tdbb0og3g0"
"2017. december 5.","karbantartó","Székesfehérvári Tankerületi Központ","Fejér megye
                             , Székesfehérvár","Közalkalmazott","","tdbc9rgyf6"
"2017. december 5.","gyógytestnevelő","Székesfehérvári Tankerületi Központ","Fejér megye
                             , Sárbogárd","Közalkalmazott","","tdbc9phmf1"
"2017. december 5.","Munkaügyi főelőadó","Szent Kozma és Damján Rehabilitációs Szakkórház","Pest megye
                             , Visegrád","Közalkalmazott","","tdbc8eava9"
"2017. december 5.","gyógypedagógus","Székesfehérvári Tankerületi Központ","Fejér megye
                             , Sárbogárd","Közalkalmazott","","tdbc8rdmc8"
"2017. december 5.","matematika szakos tanár","Monori Tankerületi Központ","Pest megye
                             , Vecsés","Közalkalmazott","","tdbc7zh7d8"
"2017. december 5.","gyógypedagógus","Székesfehérvári Tankerületi Központ","Fejér megye
                             , Dunaújváros","Közalkalmazott","","tdbc7ulxf7"
"2017. december 5.","informatika szakos tanár","Monori Tankerületi Központ","Pest megye
                             , Vecsés","Közalkalmazott","","tdbc7oabh6"
"2017. december 5.","magyar nyelv és irodalom szakos tanár","Monori Tankerületi Központ","Pest megye
                             , Vecsés","Közalkalmazott","","tdbc7pd3j5"
"2017. december 5.","gyógypedagógus","Székesfehérvári Tankerületi Központ","Fejér megye
                             , Székesfehérvár","Közalkalmazott","","tdbc6zgvj0"
"2017. december 5.","Szakorvos","Szent Kozma és Damján Rehabilitációs Szakkórház","Pest megye
                             , Visegrád","Közalkalmazott","","tdbc6psvg7"
"2017. december 5.","gazdasági ügyintéző ","Magyar Nemzeti Levéltár","Veszprém megye
                             , Veszprém","Közalkalmazott","","tdbc5zd5g2"
"2017. december 5.","fizika-matematika szakos tanár","Monori Tankerületi Központ","Pest megye
                             , Hernád","Közalkalmazott","","tdbc4ej7j6"
"2017. december 5.","gyógytestnevelő","Székesfehérvári Tankerületi Központ","Fejér megye
                             , Gárdony","Közalkalmazott","","tdbc4zsnd4"
"2017. december 5.","fuvolatanár","Szombathelyi Tankerületi Központ","Vas megye
                             , Körmend","Közalkalmazott","","tdbc4uf7f3"
"2017. december 5.","általános iskolai tanító","Monori Tankerületi Központ","Pest megye
                             , Pusztavacs","Közalkalmazott","","tdbc4olbj1"
"2017. december 5.","testnevelés szakos tanár","Monori Tankerületi Központ","Pest megye
                             , Hernád","Közalkalmazott","","tdbc3wfxe9"
"2017. december 5.","kémia szakos tanár","Monori Tankerületi Központ","Pest megye
                             , Hernád","Közalkalmazott","","tdbc3ig3e4"
"2017. december 5.","Napközis nevelő/ tanító","Ceglédi Tankerületi Központ Nagykátai Iroda","Pest megye
                             , Tápiószecső","Közalkalmazott","","tdbc2tlmh8"
"2017. december 5.","Tanító","Ceglédi Tankerületi Központ Nagykátai Iroda","Pest megye
                             , Tápiószecső","Közalkalmazott","","tdbc2pk5f4"
"2017. december 5.","iskolapszichológus","Monori Tankerületi Központ","Pest megye
                             , Dabas","Közalkalmazott","","tdbc1tkcd0"
"2017. december 5.","Történelem-bármely szakos tanár vagy tanító-bármely műveltségterülettel","Mohácsi Tankerületi Központ","Baranya megye
                             , Magyarbóly","Közalkalmazott","","tdbc1z1ng9"
"2017. december 5.","Testnevelő tanár vagy tanító testnevelés műveltségi területen","Ceglédi Tankerületi Központ Nagykátai Iroda","Pest megye
                             , Tápiószecső","Közalkalmazott","","tdbc1is7i8"
"2017. december 5.","Pénzügyi előadó, pályázati elszámoló","Budapesti Módszertani Szociális Központ és Intézményei","Budapest XIII. kerület","Közalkalmazott","","tdbc0phyj8"
"2017. december 5.","hivatalvezető-helyettes","Eötvös Loránd Tudományegyetem","","Közalkalmazott","","tdbd4wdnh6"
"2017. december 5.","Pénzügyi előadó, szállítói számla és bankszámlakivonat elszámoló","Budapesti Módszertani Szociális Központ és Intézményei","Budapest XIII. kerület","Közalkalmazott","","tdbd4ojbj0"
"2017. december 5.","Gazdasági ügyintéző","Közép-Budai Tankerületi Központ","Budapest","Közalkalmazott","","tdbd3efbg7"
"2017. december 5.","Pénztáros","Budapesti Módszertani Szociális Központ és Intézményei","Budapest XIII. kerület","Közalkalmazott","","tdbd1rd5b0"
"2017. december 5.","Kommunális ügyintéző","Budapest Főváros XV. kerületi Polgármesteri Hivatal","Budapest","Köztisztviselő","","tdbd0tf7a1"
"2017. december 5.","Szakasszisztens (műtéti)","Semmelweis Egyetem","","Közalkalmazott","","tdbe9rayf4"
